gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
ARID3A	0.0381	0.0568153773	31	CellOracle
ATF4	-0.047096	0.0185269541	72	CellOracle
ATF5	0.047704	0.0170628675	141	CellOracle
BCLAF1	0.096286	1.4134e-06	51	CellOracle
BPTF	0.03943	0.0486944429	56	CellOracle
BRCA1	0.023317	0.2438374563	104	CellOracle
BRF2	-0.111086	2.57e-08	174	CellOracle
GABPA	-0.153809	0.0	110	CellOracle
HINFP	0.120773	1.4e-09	160	CellOracle
MYC	0.259615	0.0	74	CellOracle
NFYB	-0.063362	0.0015258396	28	CellOracle
POLR2A	0.018904	0.3447446962	410	CellOracle
RAD21	0.085446	1.88606e-05	117	CellOracle
SIN3A	-0.027034	0.1766055001	307	CellOracle
THAP1	0.091352	4.7647e-06	110	CellOracle
YY1	0.101398	3.765e-07	82	CellOracle
ZNF24	-0.077485	0.0001052565	59	CellOracle
