gene	class	in_trrust	n_regulators	n_targets	is_in_feedback	n_feedback_regulators	is_regulated_by_feedback	feedback_exposure	max_scc_regulator	mean_scc_regulator	dist_to_feedback	scc_size	mean_accuracy
DNAJC8	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.815993
URI1	I	True	0	1	False	0	False	0.0	0	0.0	1	1	0.796843
PSMB6	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.543907
SERBP1	I	True	2	0	False	0	False	0.0	1	1.0	-1	1	0.933421
N6AMT1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.983271
TIMM23B	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.460607
STARD7	I	True	3	0	False	3	True	1.0	288	288.0	1	1	0.903957
HSD17B12	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.635936
GTF3A	I	True	0	5	False	0	False	0.0	0	0.0	1	1	0.882
DSN1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.574379
SSBP3	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.879407
TRMT10C	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.856436
PSMD1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.696621
SPC25	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.462164
SYF2	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.799943
HUWE1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.843071
TXNL4B	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.943157
HOXC10	I	True	0	1	False	0	False	0.0	0	0.0	-1	1	0.973693
PGAM1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.816979
RHOQ	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.95165
GEMIN6	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.957957
SNRPA1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.591729
NOL6	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.589714
NLE1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.5079
PDCD2	I	True	1	0	False	1	True	1.0	288	288.0	1	1	0.848571
RPS4X	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.367086
BNIP1	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.783136
MRPL2	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.710243
POP5	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.7362
DDX20	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.778464
SRRT	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.72835
TRMT5	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.83215
ISCA2	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.805207
KDM2A	I	True	2	3	True	2	True	1.0	288	288.0	0	288	0.950943
CEP85	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.879571
CENPT	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.880836
THOC7	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.7277
BDP1	I	True	0	3	False	0	False	0.0	0	0.0	1	1	0.652043
UQCRB	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.846993
EXOC3	I	False	0	0	False	0	False	0.0	0	0.0	-1	0	0.864986
