gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	n_downstream	n_upstream	method
RPL3	0.515973	0.0198681325	1996	0	2	GRN_Propagation
RNF8	0.649967	0.0019211181	176	0	1	GRN_Propagation
MED1	0.0	1.0	254	1	0	GRN_Propagation
LIN54	0.0	1.0	306	0	1	GRN_Propagation
RRM2	0.0	1.0	577	0	1	GRN_Propagation
WTAP	0.439143	0.052723704	165	0	1	GRN_Propagation
CIAO1	0.331333	0.153568728	255	0	1	GRN_Propagation
ASF1B	0.553891	0.0112797412	284	0	1	GRN_Propagation
TRRAP	-0.546873	0.0125862096	427	2	0	GRN_Propagation
SLC7A5	0.223008	0.3446168388	378	0	1	GRN_Propagation
GFER	0.244007	0.2998547769	222	0	2	GRN_Propagation
C1QBP	0.789397	3.50094e-05	210	0	1	GRN_Propagation
BTF3	0.773895	6.23957e-05	79	4	0	GRN_Propagation
RAD51	-0.393722	0.0858746672	241	1	7	GRN_Propagation
FXN	0.420948	0.0645613708	174	0	1	GRN_Propagation
SERBP1	0.85154	1.9162e-06	109	0	1	GRN_Propagation
METAP2	0.494875	0.026529956	161	0	1	GRN_Propagation
USF2	0.20587	0.3838752742	185	20	1	GRN_Propagation
HSPA5	0.0	1.0	438	0	9	GRN_Propagation
NELFCD	0.272736	0.2446676154	201	1	0	GRN_Propagation
DNMT1	0.695324	0.0006652688	170	14	10	GRN_Propagation
CDC20	0.186348	0.4314915864	115	0	2	GRN_Propagation
SFPQ	0.29651	0.2042865197	303	2	0	GRN_Propagation
VHL	0.411228	0.071653668	162	10	1	GRN_Propagation
ANAPC4	0.0	1.0	63	0	1	GRN_Propagation
EGLN2	0.34004	0.1423987509	362	0	1	GRN_Propagation
TUBA1B	0.887847	1.763e-07	74	0	1	GRN_Propagation
CHD4	0.505719	0.0229157726	44	1	1	GRN_Propagation
XPO1	0.291033	0.2131694957	207	0	1	GRN_Propagation
VCP	0.188457	0.4262026224	239	0	2	GRN_Propagation
