gene	in_degree	out_degree	total_degree	in_degree_weighted	out_degree_weighted	betweenness	pagerank	clustering	has_self_loop	scc_size	in_feedback_loop	n_2cycles	n_3cycles	total_short_cycles
HES4	1240	53	1293	67.708855	1.828352	0.00037129	0.01165043	0.049394	False	157	True	70	105	175
ISG15	0	31	31	0.0	1.667719	0.0	6.918e-05	0.560215	False	1	False	0	0	0
MXRA8	0	80	80	0.0	1.347922	0.0	6.918e-05	0.493671	False	1	False	0	0	0
MRPL20	0	57	57	0.0	5.189497	0.0	6.918e-05	0.577381	False	1	False	0	0	0
SSU72	0	35	35	0.0	4.752947	0.0	6.918e-05	0.591597	False	1	False	0	0	0
FNDC10	0	52	52	0.0	1.506759	0.0	6.918e-05	0.665913	False	1	False	0	0	0
MIB2	0	59	59	0.0	1.145526	0.0	6.918e-05	0.560783	False	1	False	0	0	0
SMIM1	0	55	55	0.0	0.741151	0.0	6.918e-05	0.654545	False	1	False	0	0	0
C1orf174	0	56	56	0.0	1.69799	0.0	6.918e-05	0.606169	False	1	False	0	0	0
KLHL21	0	48	48	0.0	1.284448	0.0	6.918e-05	0.645833	False	1	False	0	0	0
RERE	0	64	64	0.0	1.871472	0.0	6.918e-05	0.577381	False	1	False	0	0	0
KIF1B	0	43	43	0.0	1.70404	0.0	6.918e-05	0.71041	False	1	False	0	0	0
SRM	0	48	48	0.0	7.764335	0.0	6.918e-05	0.677305	False	1	False	0	0	0
CLCN6	0	71	71	0.0	0.882961	0.0	6.918e-05	0.555332	False	1	False	0	0	0
SPEN	0	41	41	0.0	2.928644	0.0	6.918e-05	0.710366	False	1	False	0	0	0
NECAP2	0	41	41	0.0	1.494911	0.0	6.918e-05	0.607317	False	1	False	0	0	0
OTUD3	0	39	39	0.0	0.548593	0.0	6.918e-05	0.573549	False	1	False	0	0	0
CAMK2N1	0	53	53	0.0	0.886231	0.0	6.918e-05	0.667997	False	1	False	0	0	0
HP1BP3	0	47	47	0.0	4.330936	0.0	6.918e-05	0.709528	False	1	False	0	0	0
