gene	circuit_class	co_in_degree	co_out_degree	co_betweenness	co_pagerank	co_in_feedback	co_scc_size	co_n_2cycles	co_n_3cycles	co_total_cycles	in_co_grn	trrust_in_degree	trrust_out_degree	trrust_total_degree	trrust_betweenness	trrust_pagerank	trrust_in_feedback	trrust_scc_size	trrust_n_2cycles	trrust_n_3cycles	trrust_has_self_loop	in_trrust	mean_blind_pearson	n_methods
HMGN2	I	0.0	54.0	0.0	6.918e-05	False	1.0	0.0	0.0	0.0	True	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9247785714285716	14
CEP192	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6787714285714287	14
EXOSC3	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7520214285714285	14
POLA2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.5557357142857143	14
GEMIN4	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8872214285714284	14
EIF2B1	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.5981285714285715	14
TAF7	I	0.0	45.0	0.0	6.918e-05	False	1.0	0.0	0.0	0.0	True	2	0	2	0.0	0.00027368	False	1	0	0	False	True	0.7273285714285714	14
HSPA9	I	0.0	34.0	0.0	6.918e-05	False	1.0	0.0	0.0	0.0	True	0	0	0	0.0	0.0	False	0	0	0	False	False	0.4145642857142858	14
IPO7	I										False	2	0	2	0.0	0.00030678	False	1	0	0	False	True	0.9123285714285715	14
MRPL10	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7334928571428573	14
TSFM	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8658500000000001	14
PSMD11	I										False	1	0	1	0.0	0.00031089	False	1	0	0	False	True	0.6033714285714284	14
NAA50	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8632928571428572	14
FARSA	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.5943857142857144	14
NSMCE2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9143071428571429	14
PSTK	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.896007142857143	14
MRPL39	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7353642857142857	14
OSTC	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.962	14
BORA	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8391642857142857	14
MCM10	I	0.0	28.0	0.0	6.918e-05	False	1.0	0.0	0.0	0.0	True	2	0	2	0.0	0.00029988	False	1	0	0	False	True	0.6633071428571429	14
NUTF2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7529357142857143	14
SLC39A9	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7538642857142858	14
CNOT2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.769442857142857	14
ARMC6	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9580214285714285	14
MRPS21	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6745071428571431	14
PLRG1	I										False	1	0	1	0.0	0.00049341	False	1	0	0	False	True	0.6351857142857142	14
SNRPD3	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.44202142857142857	14
COG6	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9250714285714287	14
MRPL27	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6995642857142857	14
RBMX	I										False	0	8	8	0.0	0.00026669	False	1	0	0	False	True	0.7162428571428572	14
BRCA1	II	729.0	49.0	0.00045076	0.00651265	True	157.0	24.0	36.0	60.0	True	36	57	93	0.00871995	0.00180453	True	288	4	12	False	True	0.8550857142857143	14
LSG1	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7939785714285718	14
LSM10	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8996285714285713	14
PSMC4	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.4300357142857143	14
RPAP2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6778857142857142	14
MRPL33	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7273999999999999	14
GMPS	I										False	2	0	2	0.0	0.00054314	False	1	0	0	False	True	0.8302571428571427	14
PFDN6	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9079428571428573	14
WDR82	V										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6339214285714286	14
GFM1	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.6685214285714284	14
CHMP5	I	0.0	35.0	0.0	6.918e-05	False	1.0	0.0	0.0	0.0	True	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9230857142857143	14
MIOS	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.7778857142857142	14
REXO2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.9185571428571428	14
NDUFAB1	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.76785	14
TOMM20	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8677857142857144	14
RNGTT	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8231928571428571	14
PPIL4	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8143	14
KDM2A	I										False	2	3	5	0.00030962	0.00027405	True	288	0	0	False	True	0.9509428571428572	14
CENPN	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.8513428571428571	14
PARS2	I										False	0	0	0	0.0	0.0	False	0	0	0	False	False	0.89745	14
RPLP0	I										False	1	0	1	0.0	0.00027433	False	1	0	0	False	True	0.4681928571428572	14
