gene	method	pearson_correlation	pearson_distance	circuit_class	feedback_group	topology_type	evidence_source	confidence
ACTR1A	AttentionPert	0.9897	0.0103	I	I (feed-forward)	no_regulatory_info	default	low
ACTR8	AttentionPert	0.7948999999999999	0.2051	I	I (feed-forward)	no_regulatory_info	default	low
ADAT2	AttentionPert	0.9911	0.0089	I	I (feed-forward)	no_regulatory_info	default	low
AHCTF1	AttentionPert	0.9296	0.0704	I	I (feed-forward)	no_regulatory_info	default	low
AHCY	AttentionPert	0.8221	0.1779	I	I (feed-forward)	no_regulatory_info	default	low
ANKS6	AttentionPert	0.9633	0.0367	I	I (feed-forward)	no_regulatory_info	default	low
ANLN	AttentionPert	0.9983	0.0017	I	I (feed-forward)	no_regulatory_info	default	low
ARMC6	AttentionPert	0.9869	0.0131	I	I (feed-forward)	no_regulatory_info	default	low
ATP1A1	AttentionPert	0.8633	0.1367	I	I (feed-forward)	no_regulatory_info	default	low
ATP6V1H	AttentionPert	0.8763	0.1237	I	I (feed-forward)	no_regulatory_info	default	low
ATRIP	AttentionPert	0.9192	0.0808	I	I (feed-forward)	no_regulatory_info	default	low
BCAR1	AttentionPert	0.971	0.029	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
BORA	AttentionPert	0.962	0.038	I	I (feed-forward)	no_regulatory_info	default	low
BRD4	AttentionPert	0.8647	0.1353	V	II+ (feedback)	self_modifying	literature	high
BUB1	AttentionPert	0.6977	0.3023	I	I (feed-forward)	no_regulatory_info	default	low
CAPZB	AttentionPert	0.9694	0.0306	I	I (feed-forward)	no_regulatory_info	default	low
CCDC59	AttentionPert	0.9114	0.0886	I	I (feed-forward)	no_regulatory_info	default	low
CCDC86	AttentionPert	0.32130000000000003	0.6787	I	I (feed-forward)	no_regulatory_info	default	low
CCT5	AttentionPert	0.7339	0.2661	I	I (feed-forward)	no_regulatory_info	default	low
CCT8	AttentionPert	0.6275999999999999	0.3724	I	I (feed-forward)	no_regulatory_info	default	low
CDC5L	AttentionPert	0.6201	0.3799	I	I (feed-forward)	feed_forward_tf	TRRUST_topology	medium
CDC16	AttentionPert	0.7302	0.2698	I	I (feed-forward)	no_regulatory_info	default	low
CDC20	AttentionPert	0.7555000000000001	0.2445	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
CDC40	AttentionPert	0.6529	0.3471	I	I (feed-forward)	no_regulatory_info	default	low
CDC42	AttentionPert	0.9435	0.0565	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
CDC73	AttentionPert	0.5525	0.4475	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
CDC123	AttentionPert	0.9187	0.0813	I	I (feed-forward)	no_regulatory_info	default	low
CENPE	AttentionPert	0.7764	0.2236	I	I (feed-forward)	no_regulatory_info	default	low
CENPN	AttentionPert	0.8213	0.1787	I	I (feed-forward)	no_regulatory_info	default	low
CENPT	AttentionPert	0.8774	0.1226	I	I (feed-forward)	no_regulatory_info	default	low
CEP85	AttentionPert	0.9321	0.0679	I	I (feed-forward)	no_regulatory_info	default	low
CEP192	AttentionPert	0.53	0.47	I	I (feed-forward)	no_regulatory_info	default	low
CHCHD4	AttentionPert	0.8025	0.1975	I	I (feed-forward)	no_regulatory_info	default	low
CHEK1	AttentionPert	0.8261000000000001	0.1739	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
CIAPIN1	AttentionPert	0.7195	0.2805	I	I (feed-forward)	no_regulatory_info	default	low
CLASRP	AttentionPert	0.8718	0.1282	I	I (feed-forward)	no_regulatory_info	default	low
CMTR1	AttentionPert	0.844	0.156	I	I (feed-forward)	no_regulatory_info	default	low
CNOT1	AttentionPert	0.5757	0.4243	I	I (feed-forward)	no_regulatory_info	default	low
CNOT2	AttentionPert	0.7465999999999999	0.2534	I	I (feed-forward)	no_regulatory_info	default	low
COPB1	AttentionPert	0.5913999999999999	0.4086	I	I (feed-forward)	no_regulatory_info	default	low
COPG1	AttentionPert	0.9704	0.0296	I	I (feed-forward)	no_regulatory_info	default	low
COQ2	AttentionPert	0.9678	0.0322	I	I (feed-forward)	no_regulatory_info	default	low
COX7C	AttentionPert	0.7807999999999999	0.2192	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
COX17	AttentionPert	0.9342	0.0658	I	I (feed-forward)	no_regulatory_info	default	low
CPSF1	AttentionPert	0.9206	0.0794	I	I (feed-forward)	no_regulatory_info	default	low
CSE1L	AttentionPert	0.5747	0.4253	I	I (feed-forward)	no_regulatory_info	default	low
CSNK1A1	AttentionPert	0.7295	0.2705	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
CUL3	AttentionPert	0.9333	0.0667	I	I (feed-forward)	no_regulatory_info	default	low
CWF19L2	AttentionPert	0.8967	0.1033	I	I (feed-forward)	no_regulatory_info	default	low
CYCS	AttentionPert	0.6356999999999999	0.3643	I	I (feed-forward)	no_regulatory_info	default	low
DCTN2	AttentionPert	0.8985	0.1015	I	I (feed-forward)	no_regulatory_info	default	low
DCTN3	AttentionPert	0.8523000000000001	0.1477	I	I (feed-forward)	no_regulatory_info	default	low
DDX19A	AttentionPert	0.9243	0.0757	I	I (feed-forward)	no_regulatory_info	default	low
DHX8	AttentionPert	0.5911	0.4089	I	I (feed-forward)	no_regulatory_info	default	low
DHX16	AttentionPert	0.5038	0.4962	I	I (feed-forward)	no_regulatory_info	default	low
DHX37	AttentionPert	0.4438	0.5562	I	I (feed-forward)	no_regulatory_info	default	low
DICER1	AttentionPert	0.8575	0.1425	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
DNAJA1	AttentionPert	0.6175999999999999	0.3824	I	I (feed-forward)	no_regulatory_info	default	low
DNAJC8	AttentionPert	0.8705	0.1295	I	I (feed-forward)	no_regulatory_info	default	low
DPH3	AttentionPert	1.0	0.0	I	I (feed-forward)	no_regulatory_info	default	low
EDC4	AttentionPert	1.0	0.0	I	I (feed-forward)	no_regulatory_info	default	low
EIF2S1	AttentionPert	0.5139	0.4861	I	I (feed-forward)	no_regulatory_info	default	low
EIF3G	AttentionPert	0.4719	0.5281	I	I (feed-forward)	no_regulatory_info	default	low
EIF4G2	AttentionPert	0.7481	0.2519	I	I (feed-forward)	no_regulatory_info	default	low
ELP2	AttentionPert	0.9719	0.0281	I	I (feed-forward)	no_regulatory_info	default	low
EMC7	AttentionPert	0.945	0.055	I	I (feed-forward)	no_regulatory_info	default	low
ESF1	AttentionPert	0.3782	0.6218	I	I (feed-forward)	no_regulatory_info	default	low
EXOC3	AttentionPert	0.8592	0.1408	I	I (feed-forward)	no_regulatory_info	default	low
EXOSC1	AttentionPert	0.835	0.165	I	I (feed-forward)	no_regulatory_info	default	low
EXOSC3	AttentionPert	0.5884	0.4116	I	I (feed-forward)	no_regulatory_info	default	low
EXOSC4	AttentionPert	0.5709	0.4291	I	I (feed-forward)	no_regulatory_info	default	low
EXOSC8	AttentionPert	0.61	0.39	I	I (feed-forward)	no_regulatory_info	default	low
FAM32A	AttentionPert	0.9352	0.0648	I	I (feed-forward)	no_regulatory_info	default	low
FEN1	AttentionPert	0.9422	0.0578	I	I (feed-forward)	no_regulatory_info	default	low
GABPA	AttentionPert	0.8641	0.1359	I	I (feed-forward)	feed_forward_tf	TRRUST_topology	medium
GAPDH	AttentionPert	0.7267	0.2733	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
GEMIN4	AttentionPert	1.0	0.0	I	I (feed-forward)	no_regulatory_info	default	low
GFM1	AttentionPert	0.6253	0.3747	I	I (feed-forward)	no_regulatory_info	default	low
GGPS1	AttentionPert	1.0	0.0	I	I (feed-forward)	feed_forward_target	TRRUST_topology	medium
GIT2	AttentionPert	0.7081999999999999	0.2918	I	I (feed-forward)	no_regulatory_info	default	low
GLI4	AttentionPert	0.9633	0.0367	I	I (feed-forward)	no_regulatory_info	default	low
GLRX5	AttentionPert	0.9552	0.0448	I	I (feed-forward)	no_regulatory_info	default	low
