gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	n_de_genes_used	method
NAF1	-0.093468	0.69509745	94	20	STATE_DE20
BUB1	-0.109001	0.64734983	648	20	STATE_DE20
UBL5	0.306767	0.18832256	232	20	STATE_DE20
C9orf16	0.16103	0.49762923	212	20	STATE_DE20
TIMM9	0.116783	0.6239047	201	20	STATE_DE20
SMG5	0.498292	0.025345767	83	20	STATE_DE20
ZNF687	0.023147	0.92283595	205	20	STATE_DE20
MED9	0.156846	0.50901026	119	20	STATE_DE20
RPL3	-0.14718	0.53577596	1996	20	STATE_DE20
PSTK	-0.01193	0.9601884	379	20	STATE_DE20
RNF8	0.074732	0.7541832	176	20	STATE_DE20
MED1	-0.007593	0.974656	254	20	STATE_DE20
HNRNPH1	-0.374634	0.10364343	160	20	STATE_DE20
RPL10A	0.315615	0.17524604	257	20	STATE_DE20
SLC35B1	-0.219631	0.35216168	70	20	STATE_DE20
LIN54	0.074606	0.7545839	306	20	STATE_DE20
EIF1AX	-0.219295	0.35291702	134	20	STATE_DE20
OR7A17	-0.097317	0.68315345	108	20	STATE_DE20
NUP98	0.339391	0.14321096	510	20	STATE_DE20
OIP5	-0.257319	0.27341118	137	20	STATE_DE20
ANAPC15	0.129575	0.586118	424	20	STATE_DE20
RRM2	0.274133	0.24216402	577	20	STATE_DE20
N6AMT1	0.013252	0.95577765	138	20	STATE_DE20
RPS20	-0.283067	0.22653703	273	20	STATE_DE20
WTAP	0.026736	0.91091293	165	20	STATE_DE20
RIOK2	-0.397213	0.08288509	174	20	STATE_DE20
CIAO1	0.120247	0.61357665	255	20	STATE_DE20
POP7	0.167837	0.47937873	218	20	STATE_DE20
EIF3E	0.168289	0.47817972	232	20	STATE_DE20
MRPS14	-0.205941	0.38370767	92	20	STATE_DE20
MYO1H	-0.072411	0.76160175	124	20	STATE_DE20
MRPL2	-0.041571	0.86185205	147	20	STATE_DE20
MED10	-0.31514	0.17593166	516	20	STATE_DE20
TRA2B	-0.209866	0.3745066	222	20	STATE_DE20
