gene	pearson_correlation	pearson_pvalue	n_perturbed_cells	method
NAF1	0.046734	0.0366319828	94	STATE_ST-HVG-Parse
BUB1	0.139422	4e-10	648	STATE_ST-HVG-Parse
UBL5	0.219874	0.0	232	STATE_ST-HVG-Parse
C9orf16	0.019842	0.3751382828	212	STATE_ST-HVG-Parse
TIMM9	0.069686	0.0018190206	201	STATE_ST-HVG-Parse
SMG5	0.02005	0.3701571822	83	STATE_ST-HVG-Parse
ZNF687	-0.067895	0.0023816752	205	STATE_ST-HVG-Parse
MED9	0.288241	0.0	119	STATE_ST-HVG-Parse
RPL3	0.154073	0.0	1996	STATE_ST-HVG-Parse
PSTK	-0.0502	0.0247659348	379	STATE_ST-HVG-Parse
RNF8	0.014316	0.5222485662	176	STATE_ST-HVG-Parse
MED1	0.28092	0.0	254	STATE_ST-HVG-Parse
HNRNPH1	0.143285	1e-10	160	STATE_ST-HVG-Parse
RPL10A	0.276168	0.0	257	STATE_ST-HVG-Parse
SLC35B1	-0.024283	0.277728498	70	STATE_ST-HVG-Parse
LIN54	0.026544	0.2354074419	306	STATE_ST-HVG-Parse
EIF1AX	0.150125	0.0	134	STATE_ST-HVG-Parse
OR7A17	-0.033613	0.1329171807	108	STATE_ST-HVG-Parse
NUP98	0.287087	0.0	510	STATE_ST-HVG-Parse
OIP5	-0.06129	0.0061099539	137	STATE_ST-HVG-Parse
ANAPC15	0.033926	0.1293370575	424	STATE_ST-HVG-Parse
RRM2	0.191047	0.0	577	STATE_ST-HVG-Parse
N6AMT1	-0.077738	0.0005021101	138	STATE_ST-HVG-Parse
RPS20	0.325492	0.0	273	STATE_ST-HVG-Parse
WTAP	0.005578	0.803134203	165	STATE_ST-HVG-Parse
RIOK2	0.310244	0.0	174	STATE_ST-HVG-Parse
CIAO1	0.039397	0.078159824	255	STATE_ST-HVG-Parse
POP7	0.174685	0.0	218	STATE_ST-HVG-Parse
EIF3E	0.11746	1.38e-07	232	STATE_ST-HVG-Parse
MRPS14	-0.018876	0.3988248706	92	STATE_ST-HVG-Parse
MYO1H	-0.013553	0.5446786284	124	STATE_ST-HVG-Parse
MRPL2	0.000241	0.9913876057	147	STATE_ST-HVG-Parse
